index,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Firmicutes,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Fusobacteriota,d__Bacteria;__,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Verrucomicrobiota,Unassigned;__,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__WPS-2,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Deinococcota,d__Archaea;__,d__Archaea;p__Halobacterota,Unnamed: 2,barcode-sequence
SK_B12,7328.0,15620.0,325.0,0.0,539.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,,
SK_B4,10664.0,1466.0,202.0,0.0,1493.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SK_B5,3800.0,433.0,58.0,0.0,809.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SK_B6,13310.0,134.0,166.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SK_B7,14583.0,2091.0,905.0,0.0,1053.0,0.0,0.0,236.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,
SK_B8,20961.0,398.0,1020.0,0.0,473.0,0.0,120.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,
SK_B9,35976.0,1893.0,1357.0,0.0,1568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,17.0,0.0,0.0,0.0,0.0,0.0,,
SK_C1,21556.0,844.0,339.0,0.0,830.0,0.0,40.0,0.0,0.0,0.0,6.0,0.0,0.0,61.0,0.0,0.0,24.0,0.0,0.0,,
SK_C2,11270.0,829.0,238.0,0.0,89.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,
SK_C3,7220.0,755.0,265.0,0.0,468.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,,
TIS_A1,0.0,20.0,2.0,0.0,0.0,0.0,628.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
TIS_A11,3127.0,1764.0,2368.0,722.0,512.0,497.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,
TIS_A2,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,,
TIS_A3,396.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
TIS_A4,472.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
TIS_A5,0.0,0.0,0.0,74.0,0.0,0.0,92.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
TIS_A7,0.0,2.0,2.0,0.0,109.0,0.0,101.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
TIS_A8,18870.0,1064.0,455.0,309.0,770.0,0.0,174.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,
TIS_A9,19.0,0.0,0.0,0.0,21.0,0.0,47.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,
TIS_B3,7243.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,
WAT_D4,4052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
